input date,life values high,life values low,ideal person,life goals,goal of the year 2020,goal of the year 2030,goal of the year 2040,goal of the year 2050
,maturity,money,"Be a good, smart, and strong man",Contribute to my country through my research,Publish a first paper,Start out as a lecturer,Get 500 citations in total,Win a Nobel Prize
,health,friends,,be a good husband,,make a family,,
,family,entertainment,,happy life,,,,
,research,,,able to help other people,,,,
,,,,be a father that is always there for my child,,,,
